[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/" [Client 192.168.65.1] [Length 21010] [Gzip 3.79] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/LanguageSelect.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 2979] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/TableOfContents.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 429] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/MobileMenuToggle.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 5128] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/ThemeSelect.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 7064] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/TableOfContents/MobileTableOfContents.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 8534] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Search.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 17385] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/style/props.css" [Client 192.168.65.1] [Length 7982] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/style/reset.css" [Client 192.168.65.1] [Length 1133] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/style/shiki.css" [Client 192.168.65.1] [Length 1188] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/style/util.css" [Client 192.168.65.1] [Length 1538] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
